Name,Right Ascension,Declination,Apparent Magnitude,Constellation
YY Canis Minoris,08h 06m 38.56s,+01° 55′ 46.5″,8.7,Canis Minor
AD Canis Minoris,07h 52m 47.18s,+01° 35′ 50.5″,9.38,Canis Minor
Luyten's star,07h 27m 24.91s,+05° 13′ 32.8″,9.87,Canis Minor
XZ Canis Minoris,07h 54m 07.06s,+03° 39′ 20.4″,10.25,Canis Minor
AK Canis Minoris,07h 40m 15.60s,+03° 57′ 09.5″,10.73,Canis Minor
YZ Canis Minoris,07h 44m 40.17s,+03° 33′ 08.8″,11.23,Canis Minor
HAT-P-50,07h 52m 15.0s,+28° 08′ 22″,11.76,Canis Minor
Delta Capricorni,21h 47m 02.29s,-16° 07′ 35.6″,2.85,Capricornus
Beta Capricorni,20h 21m 00.65s,-14° 46′ 53.0″,3.05,Capricornus
Alpha² Capricorni,20h 18m 03.22s,-12° 32′ 41.5″,3.58,Capricornus
Gamma Capricorni,21h 40m 05.34s,-16° 39′ 44.1″,3.69,Capricornus
Zeta Capricorni,21h 26m 40.03s,-22° 24′ 41.0″,3.77,Capricornus
Theta Capricorni,21h 05m 56.78s,-17° 13′ 57.8″,4.08,Capricornus
Omega Capricorni,20h 51m 49.30s,-26° 55′ 08.9″,4.12,Capricornus
Psi Capricorni,20h 46m 05.77s,-25° 16′ 13.9″,4.13,Capricornus
Iota Capricorni,21h 22m 14.78s,-16° 50′ 04.4″,4.27,Capricornus
Alpha1 Capricorni,20h 17m 38.86s,-12° 30′ 29.6″,4.3,Capricornus
24 Capricorni,21h 07m 07.69s,-25° 00′ 20.7″,4.49,Capricornus
36 Capricorni,21h 28m 43.32s,-21° 48′ 25.8″,4.5,Capricornus
Epsilon Capricorni,21h 37m 04.82s,-19° 27′ 57.6″,4.51,Capricornus
Kappa Capricorni,21h 42m 39.42s,-18° 51′ 58.7″,4.72,Capricornus
Nu Capricorni,20h 20m 39.81s,-12° 45′ 32.6″,4.77,Capricornus
Rho Capricorni,20h 28m 51.62s,-17° 48′ 49.2″,4.77,Capricornus
Eta Capricorni,21h 04m 24.32s,-19° 51′ 17.8″,4.82,Capricornus
Mu Capricorni,21h 53m 17.58s,-13° 33′ 06.5″,5.07,Capricornus
Pi Capricorni,20h 27m 19.20s,-18° 12′ 42.1″,5.08,Capricornus
46 Capricorni,21h 45m 00.25s,-09° 04′ 56.7″,5.1,Capricornus
Upsilon Capricorni,20h 40m 02.96s,-18° 08′ 19.0″,5.15,Capricornus
42 Capricorni,21h 41m 32.93s,-14° 02′ 48.7″,5.16,Capricornus
Phi Capricorni,21h 15m 37.89s,-20° 39′ 06.1″,5.17,Capricornus
Tau2 Capricorni,20h 39m 16.32s,-14° 57′ 17.0″,5.24,Capricornus
41 Capricorni,21h 42m 00.64s,-23° 15′ 45.5″,5.24,Capricornus
Sigma Capricorni,20h 19m 23.60s,-19° 07′ 06.6″,5.28,Capricornus
Chi Capricorni,21h 08m 33.61s,-21° 11′ 36.7″,5.3,Capricornus
29 Capricorni,21h 15m 44.83s,-15° 10′ 17.4″,5.31,Capricornus
33 Capricorni,21h 24m 09.60s,-20° 51′ 05.6″,5.38,Capricornus
30 Capricorni,21h 17m 57.28s,-17° 59′ 06.5″,5.4,Capricornus
Lambda Capricorni,21h 46m 32.08s,-11° 21′ 57.4″,5.57,Capricornus
HD 203475,21h 23m 00.47s,-22° 40′ 08.6″,5.63,Capricornus
HD 195564,20h 32m 23.51s,-09° 51′ 13.1″,5.66,Capricornus
HD 199260,20h 56m 47.27s,-26° 17′ 46.4″,5.7,Capricornus
37 Capricorni,21h 34m 51.07s,-20° 05′ 03.8″,5.7,Capricornus
HD 192310,20h 15m 16.58s,-27° 01′ 57.1″,5.73,Capricornus
19 Capricorni,20h 54m 47.85s,-17° 55′ 22.3″,5.78,Capricornus
35 Capricorni,21h 27m 14.83s,-21° 11′ 46.1″,5.78,Capricornus
HD 196857,20h 40m 32.56s,-16° 07′ 27.7″,5.79,Capricornus
Xi2 Capricorni,20h 12m 25.76s,-12° 37′ 01.3″,5.84,Capricornus
4 Capricorni,20h 18m 01.38s,-21° 48′ 35.6″,5.86,Capricornus
HD 198174,20h 49m 17.61s,-25° 46′ 52.3″,5.86,Capricornus
44 Capricorni,21h 43m 04.40s,-14° 23′ 59.1″,5.88,Capricornus
HD 199443,20h 57m 40.61s,-16° 01′ 53.6″,5.89,Capricornus
17 Capricorni,20h 46m 09.97s,-21° 30′ 50.4″,5.91,Capricornus
Omicron Capricorni,20h 29m 53.89s,-18° 34′ 58.7″,5.94,Capricornus
45 Capricorni,21h 44m 00.98s,-14° 44′ 57.8″,5.96,Capricornus
47 Capricorni,21h 46m 16.26s,-09° 16′ 33.4″,6.0,Capricornus
HD 200052,21h 01m 45.27s,-26° 52′ 51.4″,6.04,Capricornus
HD 202261,21h 15m 06.62s,-17° 20′ 42.3″,6.05,Capricornus
BW Capricorni,21h 58m 43.78s,-21° 10′ 58.5″,6.06,Capricornus
21 Capricorni,21h 00m 51.78s,-17° 31′ 51.1″,6.07,Capricornus
HD 206005,21h 39m 28.09s,-10° 34′ 36.4″,6.07,Capricornus
Beta Capricorni,20h 20m 46.52s,-14° 47′ 05.6″,6.09,Capricornus
HD 195330,20h 31m 04.33s,-15° 03′ 21.8″,6.1,Capricornus
HD 195838,20h 34m 11.66s,-13° 43′ 16.5″,6.11,Capricornus
HD 195006,20h 29m 31.34s,-22° 23′ 29.4″,6.13,Capricornus
HD 191110,20h 08m 31.27s,-10° 03′ 45.0″,6.18,Capricornus
HD 201057,21h 07m 44.68s,-17° 27′ 20.8″,6.18,Capricornus
HD 196078,20h 35m 32.21s,-16° 31′ 32.9″,6.19,Capricornus
HD 207760,21h 51m 41.66s,-18° 37′ 21.9″,6.19,Capricornus
HD 198208,20h 49m 20.54s,-18° 02′ 08.8″,6.2,Capricornus
HD 206546,21h 43m 13.48s,-19° 37′ 15.4″,6.23,Capricornus
27 Capricorni,21h 09m 32.93s,-20° 33′ 22.8″,6.25,Capricornus
20 Capricorni,20h 59m 36.13s,-19° 02′ 06.8″,6.26,Capricornus
HD 193896,20h 23m 00.78s,-09° 39′ 16.8″,6.29,Capricornus
HD 196947,20h 41m 24.26s,-25° 59′ 59.5″,6.29,Capricornus
3 Capricorni,20h 16m 22.80s,-12° 20′ 13.5″,6.3,Capricornus
HD 207503,21h 49m 41.02s,-12° 43′ 22.5″,6.31,Capricornus
HD 198732,20h 53m 01.10s,-23° 46′ 59.0″,6.32,Capricornus
Xi1 Capricorni,20h 11m 57.90s,-12° 23′ 32.5″,6.34,Capricornus
HD 195549,20h 32m 52.35s,-24° 56′ 37.4″,6.35,Capricornus
HD 196761,20h 40m 11.44s,-23° 46′ 30.0″,6.36,Capricornus
HD 196385,20h 37m 52.18s,-25° 06′ 33.1″,6.38,Capricornus
HD 203639,21h 24m 07.94s,-22° 44′ 49.5″,6.38,Capricornus
HD 207552,21h 50m 12.97s,-16° 50′ 41.6″,6.38,Capricornus
BE Capricorni,20h 11m 10.08s,-08° 50′ 32.4″,6.39,Capricornus
HD 205342,21h 35m 15.91s,-23° 27′ 15.4″,6.39,Capricornus
HD 194918,20h 28m 43.58s,-15° 44′ 29.4″,6.41,Capricornus
HD 204943,21h 32m 33.22s,-24° 35′ 25.6″,6.43,Capricornus
HD 203607,21h 23m 55.86s,-25° 12′ 08.7″,6.47,Capricornus
HD 197540,20h 45m 13.12s,-27° 14′ 50.3″,6.5,Capricornus
Omicron Capricorni,20h 29m 52.58s,-18° 35′ 10.2″,6.74,Capricornus
Tau1 Capricorni,20h 37m 21.16s,-15° 08′ 50.0″,6.76,Capricornus
50 Capricorni,21h 46m 42.09s,-11° 41′ 52.2″,7.01,Capricornus
31 Capricorni,21h 18m 15.64s,-17° 27′ 44.2″,7.07,Capricornus
HD 205249,21h 34m 16.57s,-13° 29′ 01.5″,7.69,Capricornus
HD 204313,21h 28m 12.21s,-21° 43′ 34.5″,7.99,Capricornus
HD 202206,21h 14m 57.77s,-20° 47′ 21.15″,8.08,Capricornus
RS Capricorni,21h 07m 15.43s,-16° 25′ 21.5″,8.36,Capricornus
HD 204941,21h 32m 24s,-20° 57′ 27″,8.45,Capricornus
AT Capricorni,20h 29m 36.86s,-21° 07′ 34.7″,8.87,Capricornus
HD 197027,20h 41m 54.63s,-27° 12′ 57.4″,9.15,Capricornus
AD Capricorni,21h 39m 48.92s,-16° 00′ 21.0″,9.77,Capricornus
WASP-111,21h 55m 04.0s,-22° 36′ 45″,10.3,Capricornus
HD 358623,20h 56m 02.74s,-17° 10′ 53.7″,10.48,Capricornus
HD 193334,20h 20m 23.0s,-19° 18′ 53″,10.68,Capricornus
TW Capricorni,20h 14m 28.42s,-13° 50′ 07.9″,10.7,Capricornus
RV Capricorni,21h 01m 28.87s,-15° 13′ 46.1″,10.97,Capricornus
YZ Capricorni,21h 19m 32.41s,-15° 07′ 01.2″,11.09,Capricornus
HATS-3,20h 49m 50.0s,-24° 25′ 44″,11.44,Capricornus
Wolf 922,21h 31m 18.61s,-09° 47′ 26.5″,11.99,Capricornus
WASP-89,20h 55m 36.0s,-18° 58′ 16″,13.1,Capricornus
Canopus,06h 23m 57.09s,-52° 41′ 44.6″,-0.72,Carina
Beta Carinae,09h 13m 12.24s,-69° 43′ 02.9″,1.67,Carina
Epsilon Carinae,08h 22m 30.86s,-59° 30′ 34.3″,1.86,Carina
Iota Carinae,09h 17m 05.43s,-59° 16′ 30.9″,2.23,Carina
Theta Carinae,10h 42m 57.43s,-64° 23′ 40.1″,2.74,Carina
Upsilon Carinae,09h 47m 06.14s,-65° 04′ 19.3″,2.92,Carina
Omega Carinae,10h 13m 44.28s,-70° 02′ 16.5″,3.29,Carina
PP Carinae,10h 32m 01.48s,-61° 41′ 07.3″,3.3,Carina
V337 Carinae,10h 17m 05.01s,-61° 19′ 56.4″,3.39,Carina
V357 Carinae,09h 10m 58.11s,-58° 58′ 00.9″,3.43,Carina
Chi Carinae,07h 56m 46.74s,-52° 58′ 56.6″,3.46,Carina
HD 84810,09h 45m 14.83s,-62° 30′ 28.5″,3.69,Carina
HD 94510,10h 53m 29.57s,-58° 51′ 11.8″,3.78,Carina
HD 90853,10h 27m 52.75s,-58° 44′ 21.9″,3.81,Carina
HD 76728,08h 55m 02.86s,-60° 38′ 41.0″,3.84,Carina
V382 Carinae,11h 08m 35.40s,-58° 58′ 30.2″,3.93,Carina
HD 79447,09h 11m 16.77s,-62° 19′ 01.3″,3.96,Carina
I Carinae,10h 24m 23.74s,-74° 01′ 53.6″,3.99,Carina
HD 83183,09h 34m 26.66s,-59° 13′ 47.2″,4.08,Carina
V343 Carinae,08h 40m 37.04s,-59° 45′ 39.7″,4.31,Carina
HD 80230,09h 16m 12.10s,-57° 32′ 29.2″,4.34,Carina
N Carinae,06h 34m 58.59s,-52° 58′ 32.3″,4.35,Carina
HR 2554,06h 49m 51.32s,-53° 37′ 21.0″,4.39,Carina
HD 91942,10h 35m 35.31s,-57° 33′ 27.5″,4.45,Carina
Eta Carinae,10h 45m 03.60s,-59° 41′ 03.0″,4.47,Carina
HR 3643,09h 05m 08.83s,-72° 36′ 09.7″,4.47,Carina
V344 Carinae,08h 46m 42.56s,-56° 46′ 11.3″,4.5,Carina
HD 83944,09h 39m 21.04s,-61° 19′ 41.2″,4.51,Carina
V520 Carinae,10h 43m 32.31s,-60° 33′ 59.9″,4.58,Carina
V533 Carinae,11h 12m 36.02s,-60° 19′ 03.5″,4.59,Carina
HD 96566,11h 06m 32.47s,-62° 25′ 26.9″,4.62,Carina
V399 Carinae,10h 27m 24.48s,-57° 38′ 19.7″,4.65,Carina
V345 Carinae,09h 05m 38.38s,-70° 32′ 18.7″,4.67,Carina
HD 92397,10h 38m 45.01s,-59° 10′ 58.8″,4.69,Carina
K Carinae,10h 30m 20.08s,-71° 59′ 33.8″,4.72,Carina
HR 3220,08h 09m 00.86s,-61° 18′ 06.1″,4.74,Carina
V518 Carinae,10h 42m 14.14s,-64° 27′ 59.2″,4.76,Carina
HD 81101,09h 20m 56.83s,-62° 24′ 16.7″,4.79,Carina
HD 93194,10h 44m 06.94s,-63° 57′ 40.0″,4.8,Carina
D Carinae,08h 00m 19.97s,-63° 34′ 03.0″,4.81,Carina
HD 73389,08h 35m 19.65s,-58° 00′ 33.5″,4.84,Carina
HD 93607,10h 46m 51.24s,-64° 23′ 00.6″,4.87,Carina
Q Carinae,07h 35m 39.70s,-52° 32′ 01.7″,4.93,Carina
V376 Carinae,08h 56m 58.43s,-59° 13′ 45.7″,4.93,Carina
HD 91496,10h 31m 02.07s,-73° 13′ 17.4″,4.94,Carina
HD 90264,10h 22m 58.18s,-66° 54′ 05.5″,4.97,Carina
HD 92063,10h 36m 20.56s,-59° 33′ 51.5″,5.08,Carina
HD 59219,07h 26m 21.86s,-51° 01′ 06.6″,5.09,Carina
HD 96919,11h 08m 34.01s,-61° 56′ 49.8″,5.12,Carina
HD 53047,07h 00m 51.51s,-51° 24′ 09.5″,5.14,Carina
V386 Carinae,07h 04m 18.32s,-56° 44′ 59.0″,5.14,Carina
M Carinae,10h 13m 30.68s,-66° 22′ 22.2″,5.15,Carina
C Carinae,08h 15m 15.95s,-62° 54′ 56.2″,5.16,Carina
HD 77370,08h 59m 24.38s,-59° 05′ 03.8″,5.17,Carina
HR 3153,07h 59m 37.55s,-60° 35′ 13.5″,5.19,Carina
HD 97583,11h 12m 45.27s,-64° 10′ 11.2″,5.22,Carina
HD 93549,10h 46m 29.61s,-64° 15′ 47.7″,5.23,Carina
HD 88323,10h 08m 42.84s,-65° 48′ 55.9″,5.26,Carina
V524 Carinae,10h 52m 30.85s,-57° 14′ 25.5″,5.26,Carina
HD 73390,08h 35m 15.58s,-58° 13′ 29.1″,5.27,Carina
HD 91056,10h 28m 52.60s,-64° 10′ 20.2″,5.27,Carina
HD 80951,09h 17m 25.21s,-74° 53′ 39.8″,5.28,Carina
HD 84121,09h 40m 42.60s,-57° 59′ 00.9″,5.3,Carina
HD 93540,10h 46m 16.58s,-64° 30′ 52.5″,5.33,Carina
HD 92964,10h 42m 40.57s,-59° 12′ 56.8″,5.36,Carina
HD 57917,07h 20m 38.81s,-52° 05′ 09.3″,5.38,Carina
HD 80671,09h 17m 17.40s,-68° 41′ 22.5″,5.38,Carina
HD 49689,06h 46m 52.69s,-51° 15′ 55.6″,5.39,Carina
HD 73887,08h 37m 18.85s,-62° 51′ 12.3″,5.45,Carina
HD 82350,09h 27m 06.50s,-71° 36′ 07.5″,5.46,Carina
H Carinae,09h 31m 36.32s,-73° 04′ 51.3″,5.46,Carina
HD 92207,10h 37m 27.08s,-58° 44′ 00.0″,5.47,Carina
V450 Carinae,07h 03m 15.11s,-59° 10′ 41.3″,5.5,Carina
HD 92664,10h 40m 11.46s,-65° 06′ 00.9″,5.51,Carina
HD 67364,08h 05m 03.71s,-53° 06′ 28.5″,5.52,Carina
HD 79698,09h 12m 55.62s,-59° 24′ 50.3″,5.54,Carina
HD 85656,09h 50m 55.60s,-62° 44′ 42.5″,5.56,Carina
HD 64067,07h 49m 06.72s,-56° 24′ 37.4″,5.57,Carina
HD 46569,06h 31m 18.22s,-51° 49′ 34.3″,5.58,Carina
HD 96706,11h 06m 49.93s,-70° 52′ 40.6″,5.58,Carina
HD 65907,07h 57m 46.30s,-60° 18′ 12.1″,5.59,Carina
HD 76113,08h 51m 36.53s,-57° 38′ 01.0″,5.59,Carina
V448 Carinae,06h 47m 18.71s,-55° 32′ 24.2″,5.6,Carina
HD 65273,07h 54m 53.39s,-57° 18′ 10.4″,5.62,Carina
HD 68434,08h 09m 33.63s,-56° 05′ 07.7″,5.66,Carina
HD 89715,10h 19m 05.12s,-64° 40′ 34.6″,5.66,Carina
V372 Carinae,07h 52m 29.75s,-54° 22′ 01.9″,5.69,Carina
HD 88661,10h 11m 46.47s,-58° 03′ 38.0″,5.7,Carina
S Carinae,10h 09m 22.01s,-61° 32′ 57.1″,5.71,Carina
HD 97670,11h 13m 30.79s,-59° 37′ 09.5″,5.73,Carina
HD 65662,07h 56m 18.65s,-60° 31′ 35.3″,5.74,Carina
HD 93163,10h 43m 51.21s,-64° 14′ 56.6″,5.75,Carina
HD 66194,07h 58m 50.56s,-60° 49′ 28.2″,5.77,Carina
HD 81830,09h 25m 27.38s,-61° 57′ 02.2″,5.77,Carina
HD 64185,07h 49m 12.95s,-60° 17′ 02.5″,5.78,Carina
HD 76538,08h 53m 48.67s,-60° 21′ 14.2″,5.78,Carina
HD 85655,09h 51m 12.03s,-59° 25′ 32.4″,5.79,Carina
HD 77615,09h 00m 45.75s,-60° 57′ 49.8″,5.8,Carina
HD 84152,09h 41m 02.10s,-57° 15′ 34.0″,5.8,Carina
HD 88473,10h 09m 30.20s,-68° 40′ 58.2″,5.8,Carina
HD 49517,06h 45m 53.72s,-52° 24′ 35.0″,5.81,Carina
HD 93943,10h 49m 24.46s,-59° 19′ 25.6″,5.85,Carina
HD 80950,09h 17m 27.63s,-74° 44′ 04.8″,5.86,Carina
HD 60060,07h 29m 59.74s,-52° 39′ 04.6″,5.87,Carina
HD 66441,08h 00m 49.96s,-54° 09′ 04.7″,5.87,Carina
V482 Carinae,09h 30m 23.45s,-58° 21′ 42.9″,5.88,Carina
V514 Carinae,10h 38m 02.66s,-57° 15′ 22.7″,5.89,Carina
HD 82406,09h 28m 30.60s,-66° 42′ 07.2″,5.9,Carina
HD 82347,09h 28m 47.19s,-62° 16′ 23.5″,5.91,Carina
HD 87283,10h 02m 00.11s,-60° 25′ 15.2″,5.93,Carina
HD 90454,10h 24m 59.50s,-58° 34′ 34.7″,5.93,Carina
T Carinae,10h 55m 17.26s,-60° 31′ 01.9″,5.93,Carina
HD 60228,07h 30m 30.91s,-54° 23′ 58.0″,5.95,Carina
HD 94683,10h 54m 29.60s,-61° 49′ 35.8″,5.95,Carina
HD 54732,07h 07m 13.30s,-51° 58′ 06.2″,5.96,Carina
HD 56705,07h 15m 21.27s,-52° 29′ 58.3″,5.96,Carina
HD 70839,08h 21m 12.10s,-57° 58′ 23.6″,5.96,Carina
HD 92436,10h 38m 59.70s,-58° 49′ 00.8″,5.96,Carina
HD 91533,10h 32m 47.82s,-58° 40′ 00.3″,5.98,Carina
V522 Carinae,10h 48m 05.42s,-59° 55′ 09.0″,5.98,Carina
HD 81613,09h 24m 05.50s,-61° 38′ 55.6″,5.99,Carina
HD 94650,10h 53m 42.13s,-70° 43′ 13.2″,5.99,Carina
HD 98560,11h 19m 16.84s,-64° 34′ 57.4″,5.99,Carina
HD 90874,10h 27m 25.40s,-65° 42′ 17.0″,6.0,Carina
HD 53349,07h 01m 05.18s,-58° 56′ 25.1″,6.01,Carina
HD 76346,08h 53m 03.80s,-56° 38′ 58.5″,6.02,Carina
HD 80094,09h 15m 17.66s,-58° 23′ 18.2″,6.02,Carina
HD 56239,07h 12m 01.98s,-63° 11′ 24.2″,6.03,Carina
HD 57852/57853,07h 20m 21.46s,-52° 18′ 42.8″,6.05,Carina
HD 82068,09h 26m 44.18s,-64° 55′ 47.5″,6.05,Carina
V390 Carinae,07h 39m 00.34s,-53° 16′ 24.2″,6.06,Carina
V535 Carinae,11h 17m 19.02s,-67° 49′ 24.6″,6.06,Carina
HD 88825,10h 13m 01.16s,-59° 55′ 05.1″,6.07,Carina
HD 96544,11h 06m 29.30s,-58° 40′ 30.1″,6.07,Carina
HD 92682,10h 39m 15.94s,-74° 29′ 36.2″,6.08,Carina
HD 63382,07h 45m 35.52s,-56° 43′ 21.3″,6.1,Carina
R Carinae,09h 32m 14.60s,-62° 47′ 20.0″,6.1,Carina
HD 91619,10h 33m 25.40s,-58° 11′ 24.6″,6.11,Carina
U Carinae,10h 57m 48.19s,-59° 43′ 55.9″,6.11,Carina
HD 70982,08h 21m 07.65s,-64° 06′ 21.4″,6.11,Carina
V461 Carinae,08h 01m 23.05s,-54° 30′ 56.0″,6.12,Carina
HD 65908,07h 57m 12.76s,-63° 17′ 48.8″,6.14,Carina
V478 Carinae,09h 17m 51.67s,-67° 03′ 03.2″,6.14,Carina
HD 87543,10h 03m 34.14s,-61° 53′ 02.6″,6.14,Carina
HD 95208,10h 57m 15.81s,-75° 05′ 59.2″,6.16,Carina
HD 95324,10h 59m 14.05s,-61° 19′ 14.7″,6.16,Carina
HD 96088,11h 04m 00.25s,-57° 57′ 19.2″,6.16,Carina
HD 47001,06h 33m 26.31s,-52° 19′ 45.5″,6.18,Carina
V492 Carinae,09h 56m 59.84s,-69° 06′ 06.6″,6.18,Carina
HD 87436,10h 02m 59.95s,-60° 10′ 43.3″,6.18,Carina
HD 90630,10h 24m 44.56s,-73° 58′ 18.3″,6.18,Carina
V655 Carinae,10h 30m 08.81s,-66° 59′ 04.8″,6.19,Carina
HD 62897,07h 42m 53.36s,-58° 13′ 48.5″,6.2,Carina
HD 75086,08h 45m 05.55s,-58° 43′ 27.6″,6.2,Carina
HD 87238,10h 01m 58.09s,-57° 20′ 59.4″,6.2,Carina
HD 84850,09h 45m 55.82s,-58° 47′ 38.4″,6.22,Carina
HD 89263,10h 16m 03.26s,-59° 54′ 12.4″,6.22,Carina
V532 Carinae,11h 12m 03.60s,-58° 25′ 24.1″,6.24,Carina
HD 91767,10h 34m 12.72s,-60° 59′ 15.5″,6.25,Carina
HD 65750,07h 56m 50.70s,-59° 07′ 35.0″,6.25,Carina
HD 93344,10h 44m 20.10s,-70° 51′ 35.0″,6.25,Carina
HD 52603,06h 58m 39.81s,-55° 43′ 44.1″,6.26,Carina
HD 74622,08h 42m 20.90s,-55° 46′ 28.8″,6.26,Carina
Upsilon Carinae,09h 47m 06.70s,-65° 04′ 21.0″,6.26,Carina
HD 93372,10h 44m 27.25s,-72° 26′ 37.1″,6.26,Carina
HD 93502,10h 46m 17.12s,-60° 36′ 10.4″,6.26,Carina
HD 94491,10h 53m 21.18s,-58° 53′ 36.5″,6.26,Carina
HD 82858,09h 31m 33.05s,-66° 43′ 08.6″,6.27,Carina
HD 66607,08h 01m 31.58s,-55° 27′ 16.8″,6.28,Carina
V375 Carinae,08h 04m 42.94s,-62° 50′ 10.9″,6.29,Carina
HD 61031,07h 34m 39.58s,-51° 28′ 28.3″,6.29,Carina
HD 93662,10h 47m 38.41s,-57° 28′ 02.7″,6.29,Carina
HD 94275,10h 51m 46.93s,-57° 16′ 20.3″,6.29,Carina
HD 63926,07h 48m 19.51s,-56° 28′ 15.9″,6.3,Carina
HD 66341,07h 59m 40.09s,-60° 12′ 26.6″,6.3,Carina
HD 81502,09h 23m 27.33s,-60° 18′ 08.4″,6.3,Carina
HD 86606,09h 56m 09.76s,-71° 23′ 21.5″,6.3,Carina
HD 68423,08h 08m 24.65s,-63° 48′ 03.0″,6.32,Carina
HD 80126,09h 15m 34.73s,-57° 34′ 39.9″,6.32,Carina
QZ Carinae,10h 44m 22.92s,-59° 59′ 36.0″,6.32,Carina
HD 82458,09h 27m 49.19s,-71° 46′ 52.3″,6.33,Carina
V486 Carinae,09h 42m 12.99s,-66° 54′ 53.4″,6.33,Carina
HD 92536,10h 39m 22.85s,-64° 06′ 42.5″,6.33,Carina
HD 74341,08h 40m 43.55s,-57° 32′ 43.9″,6.34,Carina
HD 90074,10h 22m 10.48s,-58° 15′ 56.3″,6.34,Carina
HD 90289,10h 23m 50.66s,-57° 57′ 14.1″,6.34,Carina
HD 93649,10h 46m 48.09s,-69° 12′ 35.3″,6.34,Carina
HD 97472,11h 11m 29.57s,-71° 26′ 10.3″,6.34,Carina
HD 74148,08h 39m 13.24s,-60° 19′ 02.4″,6.35,Carina
HD 89805,10h 19m 42.04s,-65° 08′ 14.1″,6.35,Carina
WR 22,10h 41m 17.52s,-59° 40′ 36.9″,6.35,Carina
HD 93739,10h 47m 30.62s,-69° 26′ 15.8″,6.35,Carina
HD 65189,07h 55m 00.44s,-52° 35′ 00.1″,6.36,Carina
HD 72322,08h 29m 36.40s,-55° 11′ 27.3″,6.36,Carina
V473 Carinae,08h 54m 54.05s,-58° 14′ 22.9″,6.36,Carina
HD 79699,09h 12m 50.63s,-60° 55′ 00.5″,6.36,Carina
HD 78632,09h 06m 07.61s,-64° 29′ 59.7″,6.37,Carina
HD 61394,07h 36m 01.62s,-55° 53′ 15.8″,6.39,Carina
HD 96568,11h 06m 24.32s,-64° 50′ 23.8″,6.39,Carina
HD 44267,06h 17m 51.74s,-52° 43′ 58.9″,6.4,Carina
HD 62758,07h 42m 10.22s,-58° 37′ 51.4″,6.4,Carina
V368 Carinae,10h 11m 35.49s,-58° 49′ 40.2″,6.4,Carina
HD 51210,06h 52m 45.44s,-59° 20′ 28.6″,6.41,Carina
HD 87438,10h 02m 49.42s,-62° 09′ 24.0″,6.41,Carina
HD 91270,10h 30m 39.24s,-61° 21′ 23.4″,6.41,Carina
HD 84046,09h 39m 45.15s,-62° 56′ 34.7″,6.42,Carina
HD 88907,10h 13m 21.20s,-61° 39′ 31.8″,6.42,Carina
V507 Carinae,10h 28m 18.28s,-63° 09′ 52.5″,6.42,Carina
HD 91094,10h 29m 03.67s,-65° 10′ 34.8″,6.42,Carina
HD 98025,11h 15m 42.76s,-57° 21′ 21.1″,6.42,Carina
HD 78293,09h 04m 48.00s,-57° 51′ 09.5″,6.43,Carina
HD 93359,10h 44m 32.42s,-70° 51′ 18.9″,6.43,Carina
HD 65867,07h 58m 21.47s,-51° 26′ 54.9″,6.44,Carina
V469 Carinae,08h 29m 29.82s,-54° 12′ 42.5″,6.44,Carina
HD 49705,06h 46m 41.70s,-54° 41′ 42.2″,6.45,Carina
HD 81896,09h 24m 37.16s,-70° 04′ 32.8″,6.45,Carina
V495 Carinae,10h 07m 56.64s,-62° 13′ 17.2″,6.45,Carina
WR 24,10h 43m 52.27s,-60° 07′ 04.0″,6.46,Carina
HD 52622,06h 58m 36.39s,-56° 23′ 41.2″,6.46,Carina
HD 54967,07h 07m 16.28s,-59° 42′ 59.2″,6.46,Carina
HD 93738,10h 47m 53.55s,-64° 15′ 46.3″,6.46,Carina
HD 49219,06h 44m 12.81s,-54° 41′ 43.9″,6.47,Carina
HD 70267,08h 17m 55.79s,-59° 10′ 00.3″,6.47,Carina
V487 Carinae,09h 45m 40.64s,-57° 11′ 09.8″,6.47,Carina
HD 93695,10h 47m 44.34s,-59° 52′ 30.9″,6.47,Carina
HD 95122,10h 57m 20.22s,-69° 02′ 17.0″,6.48,Carina
HD 92399,10h 38m 45.39s,-59° 15′ 44.7″,6.5,Carina
HD 96248,11h 04m 57.57s,-59° 51′ 32.0″,6.58,Carina
HD 57852/57853,07h 20m 21.43s,-52° 18′ 31.91″,6.63,Carina
QX Carinae,09h 54m 33.88s,-58° 25′ 16.6″,6.64,Carina
HD 96446,11h 06m 05.82s,-59° 56′ 59.6″,6.68,Carina
HD 53143,06h 59m 59.66s,-61° 20′ 10.3″,6.68,Carina
VY Carinae,10h 44m 32.69s,-57° 33′ 55.3″,6.91,Carina
AG Carinae,10h 56m 11.58s,-60° 27′ 12.8″,6.96,Carina
BO Carinae,10h 45m 50.63s,-59° 29′ 19.5″,7.18,Carina
HD 93403,10h 45m 44.12s,-59° 24′ 28.1″,7.3,Carina
HD 93129A,10h 43m 57.46s,-59° 32′ 51.2″,7.31,Carina
V Carinae,08h 28m 43.70s,-60° 07′ 21.3″,7.31,Carina
HD 93843,10h 48m 37.78s,-60° 13′ 25.5″,7.33,Carina
HD 95086,10h 57m 03.0s,-68° 40′ 02″,7.36,Carina
HD 93250,10h 44m 45.03s,-59° 33′ 54.7″,7.5,Carina
HR Carinae,10h 22m 53.84s,-59° 37′ 28.4″,7.57,Carina
WR 40,11h 06m 17.20s,-65° 30′ 35.2″,7.7,Carina
HD 93205,10h 44m 33.74s,-59° 44′ 15.5″,7.75,Carina
